agreement_type,agreement_type_issue,cicumstance_invoked_code,circumstance_invoked,first_resolution_code,first_resolution,second_resolution_code,second_resolution
07 Contract of service - transport,Cancellation,6_02_30_non_payment_reimbursment_other_charges,Non reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"08 Contract of service - legal, tax, technical
Advice",Cancellation,6_02_31_insufficient_reimbursment_price_of_service,Insufficient reimbursement - price of service,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"09 Contract of service - hotel, restaurant",Cancellation,6_02_31_insufficient_reimbursment_shipping_charges,Insufficient reimbursement -shipping charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
10 Contract of service – repair,Cancellation,6_02_31_insufficient_reimbursment_shipping_charges_price_of_service,Insufficient reimbursement -shipping charges and price of service,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
12 Contract of service - other (please specify),Cancellation,6_02_31_insufficient_reimbursment_other_charges,Insufficient reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"20 Subscription agreement (newspaper, magazine)",Cancellation,6_02_31_insufficient_reimbursment_other_charges,Insufficient reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
21 Membership fee,Service is not as expected or what you paid for,6_02_35_service_not_conform_order,Service not in conformity with the order,7_2_demand_repair_replacement_faulty_good,I want to demand repair or replacement,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want a reduction of purchase price
"-> for the two last ones there is a modification in cancellation, I explain later",Service is not as expected or what you paid for,6_02_35_service_not_conform_order,Service not in conformity with the order,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want a reduction of purchase price,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
"-> for the two last ones there is a modification in cancellation, I explain later",Service is not as expected or what you paid for,6_02_35_service_not_conform_order,Service not in conformity with the order,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
"-> for the two last ones there is a modification in cancellation, I explain later","Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_pricing_payment_surcharge_payment_card,"Surcharge fees for the use of cards, other means of payment",7_1_issue_with_pricing_payments,I want to get a refund,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
"-> for the two last ones there is a modification in cancellation, I explain later","Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_specify_pricing_payment_additional_services,Charges for additional services,7_1_issue_with_pricing_payments,I want to get a refund,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
"-> for the two last ones there is a modification in cancellation, I explain later","Total price not given before purchase, price discrimnation, surcharge fees for credit cards",6_02_36_other_pricing_payment_discrimination,Price discrimination,7_1_issue_with_pricing_payments,I want to get a refund,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
